Season,Facility ID,Latitude,Longitude,Street1,Street2,City,State,Postal Code,Country,Type,Facility Name,URL,Phone,Contact,Begin Date,End Date,Begin Time,End Time,Begin DateTime,End DateTime,Recurrence Days,Hours,Eligibility,Cost,Notes,Record ID,Location
2017,90,52.354564,4.913203,Wibautstraat 129,,Amsterdam,,,Netherlands,A,The Student Hotel Amsterdam City,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk,,Oost,2017-90,"(52.354564,4.913203)"
2017,91,52.359438,4.909481,Wibautstraat 3 A,,Amsterdam,,,Netherlands,AP,Hogeschool van Amsterdam. Wibauthuis,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk met GPA,,Oost,2017-91,"(52.359438,4.909481)"
2017,92,52.364316,4.926929,Von Zesenstraat 298,,Amsterdam,,,Netherlands,AP,Ouderencentrum De Gooyer,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk met GPA,,Oost,2017-92,"(52.364316,4.926929)"
2017,93,52.358575,4.923098,Kastanjeplein 60,,Amsterdam,,,Netherlands,A,Woonzorgcentrum Kastanjehof,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk,,Oost,2017-93,"(52.358575,4.923098)"
2017,94,52.374399,4.945738,J.F. van Hengelstraat 100,,Amsterdam,,,Netherlands,AP,Sportzaal J.F. van Hengelstraat,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk met GPA,,Oost,2017-94,"(52.374399,4.945738)"
2017,95,52.354461,4.919061,Christiaan de Wetstraat 23,,Amsterdam,,,Netherlands,AP,Openbare Basisschool De Kaap,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk met GPA,,Oost,2017-95,"(52.354461,4.919061)"
2017,96,52.354169,4.938894,Galileiplantsoen 39,,Amsterdam,,,Netherlands,C,Gymzaal Villa Bons,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,niet rolstoeltoegankelijk,,Oost,2017-96,"(52.354169,4.938894)"
2017,97,52.351327,4.917362,Hofmeyrstraat 67,,Amsterdam,,,Netherlands,AP,Buurtcentrum Kraaipan,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk met GPA,,Oost,2017-97,"(52.351327,4.917362)"
2017,98,52.358062,4.929797,Polderweg 3,,Amsterdam,,,Netherlands,AP,Montessori College Oost,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk met GPA,,Oost,2017-98,"(52.358062,4.929797)"
2017,99,52.365411,4.92912,Roomtuintjes 233,,Amsterdam,,,Netherlands,A,Verenigingsgebouw O Pontania,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk,,Oost,2017-99,"(52.365411,4.92912)"
